name,online_order,book_table,rate,votes,location,cost_two,dining_type,cuisines
Kolkata Famous Kati Rolls,Yes,No,3.1,25,Bannerghatta Road,100.0,Delivery,"Fast Food, Rolls"
Kataria's Home Food,Yes,No,3.1,40,BTM,400.0,Delivery,North Indian
The Biriyani Factory,Yes,No,3.1,30,BTM,500.0,Delivery,"North Indian, Biryani"
Night Spoon,Yes,No,2.6,54,BTM,600.0,Delivery,"Biryani, Chinese, North Indian"
Gilly's Restobar,No,Yes,4.5,3902,Koramangala 5th Block,1000.0,Delivery,"Finger Food, Continental, North Indian"
The 90s Hash House,No,No,3.8,63,BTM,500.0,Delivery,Cafe
The Food Dude,Yes,No,4.0,176,Koramangala 6th Block,300.0,Delivery,"Fast Food, Burger, Sandwich, Pizza"
The Night Watch Express,Yes,No,3.0,53,Koramangala 1st Block,500.0,Delivery,"North Indian, Chinese"
Pensiri Cafe,Yes,No,3.5,48,HSR,300.0,Delivery,North Indian
Marunadan Kada,No,No,3.3,6,BTM,250.0,Delivery,"Kerala, Tea"
The Kitchen Bandit,Yes,No,3.2,42,Koramangala 2nd Block,350.0,Delivery,"Chinese, North Indian, Fast Food"
Sandwich Shop,Yes,No,2.9,47,JP Nagar,400.0,Delivery,"Fast Food, Burger, Sandwich"
Siddique Kabab Centre,Yes,No,3.1,68,Jayanagar,550.0,Delivery,"Mughlai, Kebab, Chinese"
China Down Town,Yes,No,3.5,5,Koramangala 4th Block,800.0,Delivery,Chinese
Bottle Breacher,No,Yes,4.2,1192,JP Nagar,1200.0,Delivery,"Italian, Continental"
BTM Cakes,Yes,No,3.3,8,BTM,400.0,Delivery,"Bakery, Desserts"
Fresh Bites,Yes,No,3.3,16,Koramangala 1st Block,400.0,Delivery,"Italian, Fast Food"
Lassi Pot,Yes,No,3.3,4,BTM,250.0,Delivery,Beverages
Royal View Restaurant,Yes,No,3.7,26,BTM,700.0,Delivery,"North Indian, Chinese, Arabian"
Ober Cafe,Yes,No,3.5,10,Koramangala 1st Block,200.0,Delivery,"Fast Food, Desserts"
Truffles,No,No,4.7,14654,Koramangala 5th Block,900.0,Delivery,"Cafe, American, Burger, Steak"
Eat Well,Yes,No,2.9,22,JP Nagar,400.0,Delivery,"North Indian, Chinese"
Friends Night Kitchen,Yes,No,3.8,109,Koramangala 6th Block,400.0,Delivery,"Italian, Pizza"
Mealsbaba,Yes,No,3.7,57,HSR,400.0,Delivery,North Indian
Tawa,Yes,No,3.4,25,Koramangala 1st Block,200.0,Delivery,North Indian
The Kitchen Story,Yes,No,3.3,18,HSR,300.0,Delivery,"North Indian, Chinese"
Ambur Hot Dum Biryani,No,No,3.5,21,BTM,200.0,Delivery,Biryani
Dyu Art Cafe,No,No,4.5,3826,Koramangala 5th Block,800.0,Delivery,"Cafe, Italian, Fast Food"
Egg Star,Yes,No,3.6,19,HSR,300.0,Delivery,"Healthy Food, Sandwich"
BBQ Ride 46,Yes,No,3.4,7,South Bangalore,200.0,Delivery,BBQ
Lucky's Biriyani Point,Yes,No,3.4,9,HSR,400.0,Delivery,"Biryani, South Indian, North Indian, Fast Food"
Om Made Cafe,No,No,4.0,2729,Koramangala 5th Block,1300.0,Delivery,"Cafe, Continental, European, Juices"
Kesariya,No,Yes,4.2,1214,JP Nagar,1200.0,Delivery,Rajasthani
Khichadiwala,Yes,No,3.9,15,HSR,400.0,Delivery,North Indian
Zengi Pub & Restaurant,Yes,No,3.7,32,BTM,900.0,Delivery,"Finger Food, Continental, Chinese"
Nile Garden Restaurant,Yes,No,2.6,33,BTM,500.0,Delivery,"North Indian, Fast Food, Chinese, Beverages"
Kullukki,Yes,No,3.5,9,Koramangala 5th Block,400.0,Delivery,"Juices, Beverages, Fast Food"
Sri Bhagya Grand,Yes,No,3.4,185,Bannerghatta Road,450.0,Delivery,"South Indian, North Indian, Chinese, Street Food, Beverages"
Big Wong XL,No,Yes,4.5,678,Koramangala 5th Block,1400.0,Delivery,"Chinese, Sushi, Asian, Thai"
Nagarjuna,No,No,4.3,2296,Koramangala 5th Block,800.0,Delivery,"Andhra, North Indian, Biryani"
Kritunga Restaurant,No,No,3.8,1159,Koramangala 5th Block,650.0,Delivery,"Andhra, Biryani, North Indian, Chinese"
Hunan,No,Yes,4.3,2241,Koramangala 5th Block,1100.0,Delivery,"Chinese, Thai, Momos"
Khawa Karpo,No,No,4.3,988,Koramangala 5th Block,350.0,Delivery,"Chinese, Tibetan, Momos"
The Himalayan,No,Yes,4.4,320,Koramangala 5th Block,1200.0,Delivery,Korean
Art of Delight,No,No,4.3,449,Koramangala 5th Block,400.0,Delivery,"Ice Cream, Desserts, Beverages"
Coastal Mama,No,Yes,4.1,466,JP Nagar,700.0,Delivery,"Konkan, Mangalorean, North Indian, Seafood"
Nouvelle Garden,No,No,3.7,202,JP Nagar,900.0,Delivery,"North Indian, Continental, Italian"
Vaho Kafe & Pressery,No,No,3.9,124,Bannerghatta Road,500.0,Delivery,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices"
Royal Chef Naati Oota,No,No,4.0,193,JP Nagar,500.0,Delivery,"South Indian, Biryani, North Indian"
Food And You,No,No,3.8,89,Koramangala 5th Block,300.0,Delivery,"North Indian, Gujarati"
Crave Bite,No,No,3.6,19,Jayanagar,400.0,Delivery,"Chinese, Italian, Fast Food, Momos"
Biryani Knights,No,No,3.6,21,JP Nagar,300.0,Delivery,Biryani
Mast Kalandar,No,No,2.3,175,JP Nagar,450.0,Delivery,North Indian
Dum & Oven,No,No,3.7,29,HSR,600.0,Delivery,"North Indian, Hyderabadi, Continental"
Now Momos,No,No,3.4,11,Koramangala 7th Block,200.0,Delivery,"Chinese, Fast Food, Momos"
Ammi's Biryani,No,No,2.7,77,Bommanahalli,500.0,Delivery,"Biryani, North Indian"
Midnight Express,No,No,2.8,26,Koramangala 5th Block,650.0,Delivery,"North Indian, Chinese, Continental"
Bao and Rolls,No,No,3.6,19,Bannerghatta Road,250.0,Delivery,"Rolls, Kebab, Fast Food"
Hungry Bowl,No,No,3.6,51,Koramangala 5th Block,500.0,Delivery,"North Indian, Chinese, Italian"
Food Feast Multicusine Restaurant,No,No,3.3,16,Bannerghatta Road,600.0,Delivery,"North Indian, Chinese, Hyderabadi"
Midnight Hunger Solutions 24/7,No,No,3.2,11,Koramangala 5th Block,500.0,Delivery,"North Indian, Mughlai, Chinese"
Night Panda,No,No,2.9,39,JP Nagar,500.0,Delivery,"Fast Food, North Indian, Chinese"
Tandoor Hut,No,No,2.2,90,Bannerghatta Road,750.0,Delivery,"North Indian, Chinese"
Owly,No,No,3.7,27,Koramangala,350.0,Delivery,"Fast Food, North Indian"
Night Hunger,No,No,3.1,6,JP Nagar,350.0,Delivery,North Indian
Vennela Andhra Meals,Yes,No,3.0,23,Jayanagar,400.0,Delivery,Andhra
Petoo,Yes,No,3.8,178,Koramangala 1st Block,800.0,Delivery,"North Indian, Fast Food, Street Food"
Polamma's Mess,Yes,No,4.2,185,BTM,300.0,Delivery,"North Indian, Chinese, Biryani"
Juice Fresco & Pizza,Yes,No,3.4,12,JP Nagar,300.0,Delivery,"Beverages, Pizza"
Swad Plaza,Yes,No,3.4,6,BTM,400.0,Delivery,"North Indian, Chinese"
Kebarbiq,Yes,No,4.0,138,Koramangala 7th Block,800.0,Delivery,"North Indian, Arabian, Mughlai, Middle Eastern, Grill"
Red Bawarchi,Yes,No,3.0,21,BTM,600.0,Delivery,"Biryani, Chinese, North Indian"
8 Slice,Yes,No,3.7,74,Koramangala 6th Block,600.0,Delivery,Pizza
Dosa Bazaar,Yes,No,3.9,112,JP Nagar,200.0,Delivery,"Street Food, South Indian"
Pakiza Dilli Darbar Restaurant,Yes,No,3.2,13,BTM,300.0,Delivery,Biryani
Intriicake,Yes,No,3.8,34,HSR,350.0,Delivery,"Bakery, Desserts, Italian, North Indian, Fast Food"
Queen Pearls,Yes,No,3.6,25,Ejipura,500.0,Delivery,Pizza
Sunny's Kitchen,Yes,No,3.7,62,HSR,500.0,Delivery,"Continental, American"
Bhaijaan Barbeques,Yes,No,3.5,9,South Bangalore,200.0,Delivery,"Mughlai, Arabian, BBQ"
Miss Momo,Yes,No,3.2,12,BTM,250.0,Delivery,"Tibetan, Momos"
The Chaat Shop,No,No,3.2,9,BTM,100.0,Delivery,Street Food
Mahek Pizza,Yes,No,3.9,38,JP Nagar,400.0,Delivery,Pizza
Halo Chef,Yes,No,3.9,145,Koramangala 4th Block,500.0,Delivery,North Indian
Crepe Nation,Yes,No,3.8,12,South Bangalore,300.0,Delivery,"Fast Food, Desserts"
Natuna Seafood House,Yes,No,4.2,76,Koramangala 5th Block,450.0,Delivery,Seafood
BMR Hyderabad Biryani,Yes,No,3.6,24,BTM,400.0,Delivery,Biryani
TangyLicious,Yes,No,2.6,16,BTM,400.0,Delivery,Fast Food
The Duke of Juices,Yes,No,2.8,5,HSR,200.0,Delivery,"Juices, Beverages, Salad"
Gourmet Food Truck,Yes,No,3.6,15,South Bangalore,200.0,Delivery,Chinese
Spicy World,Yes,No,3.4,7,JP Nagar,200.0,Delivery,North Indian
Chination,Yes,No,3.5,4,Koramangala 4th Block,600.0,Delivery,Chinese
Delicious Demons,Yes,No,3.3,26,Koramangala 1st Block,400.0,Delivery,Continental
Gharelu Zaika,Yes,No,3.7,22,JP Nagar,250.0,Delivery,North Indian
Deja Vu Resto Bar,Yes,Yes,4.4,2493,Bannerghatta Road,900.0,Delivery,"North Indian, Italian"
HungerLoft,Yes,No,2.5,109,BTM,800.0,Delivery,"North Indian, Chinese, Arabian"
RCS Kitchen,Yes,No,3.3,34,BTM,500.0,Delivery,Continental
Bhavani Upahara,Yes,No,3.3,9,Bannerghatta Road,250.0,Delivery,South Indian
The Blue Wagon - Kitchen,Yes,No,4.6,230,Jayanagar,400.0,Delivery,"Cafe, Beverages"
Eat & Joy Restaurant,Yes,No,3.1,7,JP Nagar,300.0,Delivery,"Fast Food, Finger Food"
Zero Kelvin,Yes,No,4.3,169,Koramangala 4th Block,450.0,Delivery,"Desserts, Beverages"
Ocean,Yes,No,3.8,213,Koramangala 6th Block,700.0,Delivery,"Mexican, Continental, Italian, Chinese"
Kulfi & More,Yes,No,3.7,47,BTM,200.0,Delivery,"Ice Cream, Beverages"
Billionaires Cafe,Yes,No,3.8,47,Koramangala 5th Block,600.0,Delivery,"Cafe, Italian"
Sagar Fast Food,Yes,No,3.7,66,BTM,300.0,Delivery,"South Indian, Chinese, North Indian"
Subham Pal Kitchen,Yes,No,3.3,10,Koramangala 1st Block,300.0,Delivery,"North Indian, Chinese"
The Retro,Yes,No,3.2,47,Koramangala 7th Block,300.0,Delivery,"Chinese, Burger"
Raj Darbar,Yes,No,3.7,47,Koramangala 6th Block,800.0,Delivery,"North Indian, Chinese, Bengali"
Akshaya Grand,Yes,No,3.4,29,BTM,750.0,Delivery,North Indian
House Of Commons,No,Yes,4.8,4390,Koramangala 5th Block,1000.0,Delivery,"Continental, Asian, North Indian"
Haji Ali Juice Centre,Yes,No,4.0,152,Koramangala 5th Block,350.0,Delivery,"Beverages, Fast Food, Desserts"
Happy Brew,No,Yes,4.0,2151,Koramangala 5th Block,1000.0,Delivery,"Continental, American, Chinese, BBQ, Salad"
The Juicy,Yes,No,3.5,13,JP Nagar,100.0,Delivery,"Beverages, Juices"
Krishna Grand,Yes,No,3.2,42,HSR,200.0,Delivery,South Indian
Shri Vinayaka Ice N Juice,Yes,No,3.7,17,Jayanagar,200.0,Delivery,"Fast Food, Beverages"
Upahara Sagar,Yes,No,3.0,25,Jayanagar,300.0,Delivery,"South Indian, North Indian, Chinese"
Namms Cafe,Yes,No,3.1,7,Koramangala 2nd Block,300.0,Delivery,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian"
Over The Top Terrace Lounge,No,Yes,3.9,1388,Koramangala 5th Block,1400.0,Delivery,"Continental, North Indian"
Tella Tales,Yes,No,4.2,413,Koramangala 5th Block,700.0,Delivery,"Cafe, Desserts, Beverages"
M World Cafe,Yes,No,3.5,14,Koramangala 1st Block,500.0,Delivery,Cafe
Targaryen's Kitchen,Yes,No,3.6,43,JP Nagar,600.0,Delivery,"Chinese, North Indian, Mughlai"
Heritage Cafe,Yes,No,3.6,11,Jayanagar,200.0,Delivery,"Fast Food, Tea"
Sampoorna,Yes,No,3.6,70,JP Nagar,600.0,Delivery,"Chinese, North Indian"
Namaste Kitchen,Yes,No,3.8,172,Koramangala 5th Block,400.0,Delivery,"North Indian, South Indian, Chinese"
India On Wheels,Yes,No,3.6,11,Koramangala 3rd Block,400.0,Delivery,North Indian
Naati Biriyani,Yes,No,3.1,4,BTM,300.0,Delivery,"Kebab, Biryani"
Namma Halli Jonne Biryani,Yes,No,3.3,4,Bannerghatta Road,300.0,Delivery,Biryani
California Burrito,No,No,4.1,1223,Koramangala 5th Block,400.0,Delivery,"Mexican, Fast Food"
Royal Treat,No,No,4.1,435,Koramangala 5th Block,500.0,Delivery,"North Indian, Chinese, Biryani"
Moghul Durbar Restaurant,No,No,4.0,335,Jayanagar,550.0,Delivery,"North Indian, BBQ, Kebab, Rolls"
Enerjuvate Studio & Cafe,No,Yes,4.4,464,Koramangala 4th Block,800.0,Delivery,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages"
Checkpost,Yes,No,4.1,956,JP Nagar,600.0,Delivery,"South Indian, Seafood, North Indian, Beverages"
Market Table,No,Yes,4.5,546,Koramangala 5th Block,900.0,Delivery,"Cafe, Continental, Mediterranean, Beverages"
Anjappar,No,No,3.9,1155,Koramangala 4th Block,650.0,Delivery,"Chettinad, South Indian"
Nandhana Palace,No,Yes,4.1,770,Koramangala 4th Block,800.0,Delivery,"Andhra, Biryani, North Indian, Chinese"
Indian Coffee House & Restaurant,No,No,4.1,674,Koramangala 5th Block,650.0,Delivery,"South Indian, North Indian, Chinese"
Samosa Party,No,No,4.1,42,Koramangala 5th Block,150.0,Delivery,"Street Food, Fast Food"
Mak n Vak - Fyn,Yes,No,3.9,337,HSR,500.0,Delivery,"North Indian, Chinese"
Johnny Fox,No,No,3.9,66,Hosur Road,1500.0,Delivery,"North Indian, Chinese"
The Yellow Tuk-Tuk Cafe,Yes,No,3.6,16,Koramangala 5th Block,500.0,Delivery,"Cafe, Continental, Beverages"
Baba Da Dhaba,No,Yes,4.1,446,Koramangala 7th Block,650.0,Delivery,North Indian
The ThickShake Factory,No,No,4.3,235,Koramangala 7th Block,350.0,Delivery,"Beverages, Juices"
Navya Andhra Style Restaurant,No,No,3.5,12,Hosur Road,200.0,Delivery,"North Indian, South Indian"
Hari Super Sandwich,No,No,4.0,161,Jayanagar,200.0,Delivery,"Fast Food, Street Food"
Taj Durbar,No,No,3.8,83,Jayanagar,400.0,Delivery,"North Indian, BBQ"
Hatti Punjab Di,No,No,3.3,24,HSR,600.0,Delivery,"North Indian, Chinese"
Hyderabad Bawarchi,No,No,3.9,118,Jayanagar,800.0,Delivery,"North Indian, Biryani, Chinese"
Malabar Cafe,Yes,No,3.3,4,Bannerghatta Road,400.0,Delivery,"South Indian, Kerala, Biryani"
Shree Thali,No,No,4.0,181,Koramangala 5th Block,150.0,Delivery,North Indian
Gundappa Donne Biryani,No,No,3.1,117,Koramangala 7th Block,200.0,Delivery,Biryani
Ambur Biryani,No,No,3.5,17,Koramangala 3rd Block,250.0,Delivery,"Biryani, Chinese"
Panjabi Dhaba,No,No,3.2,21,Bommanahalli,300.0,Delivery,"North Indian, Chinese"
Star Kitchen,No,No,3.3,9,Bommanahalli,150.0,Delivery,"Chinese, North Indian, Biryani"
Flavorsome Bakes,No,No,4.0,93,Bannerghatta Road,800.0,Delivery,"Bakery, Desserts"
Cafe Arabica,No,No,3.8,69,Bannerghatta Road,700.0,Delivery,"Cafe, Bakery"
North Indian And Bengali Mess,No,No,3.7,34,Koramangala 5th Block,300.0,Delivery,"North Indian, Bengali"
The Donut Baker,No,No,3.8,62,Koramangala 7th Block,150.0,Delivery,Desserts
Food Theory,No,No,2.6,56,HSR,500.0,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts"
Momos Corner,No,No,3.3,6,HSR,250.0,Delivery,Chinese
Daily Bread,No,No,3.2,63,JP Nagar,600.0,Delivery,"Bakery, Fast Food, Italian"
Rotti Mane,No,No,3.6,13,Jayanagar,200.0,Delivery,South Indian
Jaganath Restaurant And Hotel,No,No,3.2,8,JP Nagar,300.0,Delivery,North Indian
Meal In A Box,No,No,3.6,16,Koramangala 7th Block,300.0,Delivery,Street Food
Multi Cakes,No,No,3.7,44,JP Nagar,200.0,Delivery,"Bakery, Desserts"
Cake Art,No,No,2.9,27,JP Nagar,400.0,Delivery,Bakery
The Sandesh Factory,No,No,3.2,4,Bannerghatta Road,150.0,Delivery,"Mithai, Desserts"
Pai's Kitchen,No,No,3.5,11,Koramangala 2nd Block,200.0,Delivery,South Indian
Good Bread,No,No,3.6,14,JP Nagar,300.0,Delivery,"Bakery, Desserts"
UNIK Food,No,No,3.3,4,Jayanagar,300.0,Delivery,"North Indian, Chinese"
Adi's Cake N Cafe,No,No,3.3,4,Bannerghatta Road,400.0,Delivery,Bakery
Jiyo Natural,No,No,3.6,14,South Bangalore,300.0,Delivery,"Healthy Food, North Indian"
Sultan's Biryani,No,No,3.0,12,Bannerghatta Road,700.0,Delivery,"Biryani, North Indian"
Kyakhanahai,No,No,3.4,8,Koramangala 5th Block,400.0,Delivery,"North Indian, South Indian"
D2V Cafe,No,No,3.6,13,Bannerghatta Road,700.0,Delivery,Cafe
RICE BAR,No,No,3.1,7,Bannerghatta Road,500.0,Delivery,"North Indian, Biryani"
Le Rosa Restaurant,No,No,3.2,4,HSR,700.0,Delivery,"North Indian, Mughlai, Biryani"
Little Shangai,No,No,3.3,4,Bannerghatta Road,400.0,Delivery,"Chinese, North Indian, Fast Food"
Mysore Carnival Restaurant,No,No,3.8,14,Koramangala 6th Block,350.0,Delivery,"Chinese, Kerala, North Indian, South Indian"
SVR Foods - Night Ka Khana,No,No,3.5,15,JP Nagar,400.0,Delivery,"North Indian, South Indian"
Ronnie's Kitchen,No,No,3.1,12,Koramangala 5th Block,200.0,Delivery,Chinese
The Tower Of Pizza,No,No,2.9,16,Koramangala 5th Block,500.0,Delivery,"Pizza, Italian"
Indian Dhaba,No,No,3.3,7,HSR,450.0,Delivery,"North Indian, Chinese"
Banashankari Donne Biriyani,No,No,3.3,4,Koramangala 7th Block,300.0,Delivery,"South Indian, Biryani"
S.W.A.T Food Truck,No,No,3.7,21,Koramangala 5th Block,250.0,Delivery,"American, Fast Food"
The Little Kitchen,No,No,3.8,27,Jayanagar,300.0,Delivery,"Chinese, Momos"
The Night King,No,No,3.3,4,Koramangala 7th Block,400.0,Delivery,"North Indian, Chinese"
Niice Cream,No,No,3.8,38,Koramangala 5th Block,400.0,Delivery,"Ice Cream, Beverages, Desserts"
Prakruthi Restaurant,No,No,3.2,4,Bommanahalli,400.0,Delivery,"Andhra, North Indian"
Chai Mane,No,No,3.0,8,Koramangala 5th Block,150.0,Delivery,"Juices, Fast Food"
Desi Breakk,No,No,3.3,7,HSR,150.0,Delivery,North Indian
TGS Retails,No,No,3.3,4,HSR,600.0,Delivery,"Bakery, Desserts"
Cafe Choco Craze,No,No,3.7,9,Bannerghatta Road,400.0,Delivery,"Cafe, Fast Food, Desserts"
Grand Chillies,No,No,3.4,7,HSR,400.0,Delivery,"North Indian, Chinese, Biryani"
Kanha's Kafe,No,No,3.5,12,Koramangala 5th Block,200.0,Delivery,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai"
FrostBite,No,No,3.5,15,Koramangala 5th Block,400.0,Delivery,"Desserts, Fast Food"
Sandwich Mamas,No,No,3.2,4,Bannerghatta Road,300.0,Delivery,Fast Food
Hotel Lakshmi Paradise,No,No,3.3,7,Bannerghatta Road,400.0,Delivery,"North Indian, Mughlai"
Jodhpur Jaika,No,No,3.3,4,Bommanahalli,200.0,Delivery,"North Indian, Street Food"
Lets cafe,No,No,3.5,6,Koramangala 5th Block,250.0,Delivery,"Chinese, North Indian"
Homfrez.com,No,No,3.4,8,Koramangala 1st Block,400.0,Delivery,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian"
Malabar Mint,No,No,3.4,39,Koramangala 5th Block,700.0,Delivery,"Kerala, North Indian, Chinese"
Desi Bites,No,No,3.3,4,Bannerghatta Road,200.0,Delivery,Street Food
The Denny's,No,No,3.7,91,Jayanagar,900.0,Delivery,"North Indian, Chinese"
Sri Lakshmi Dhaba,No,No,3.0,17,Bommanahalli,300.0,Delivery,"North Indian, Chinese"
Hotel Palace,Yes,No,3.7,24,HSR,250.0,Delivery,"Biryani, Chinese"
Desi Vdesi,Yes,No,3.8,50,BTM,250.0,Delivery,"Fast Food, North Indian, Rolls"
Sk Grand Hotel,No,No,3.2,6,Jayanagar,400.0,Delivery,South Indian
Maxpresso,Yes,No,4.1,323,Koramangala 7th Block,700.0,Delivery,"Cafe, American, Italian, Beverages"
Tasty Khaana Khazana,Yes,No,3.3,6,Bommanahalli,300.0,Delivery,North Indian
Chaai Resto,No,No,2.7,16,Koramangala 5th Block,300.0,Delivery,Beverages
Just Sandwiches,Yes,No,3.6,10,BTM,100.0,Delivery,Sandwich
House Of Lassi,Yes,No,3.6,23,Bommanahalli,250.0,Delivery,"Beverages, Fast Food"
Kanhaiyas,Yes,No,3.6,10,Bannerghatta Road,150.0,Delivery,South Indian
Juice Lounge,Yes,No,3.1,28,BTM,250.0,Delivery,"Beverages, Healthy Food"
Lassi Pot,Yes,No,3.3,7,HSR,100.0,Delivery,Beverages
Status,Yes,No,3.3,67,Bannerghatta Road,600.0,Delivery,"North Indian, Chinese"
Aaranya Restaurant,Yes,No,3.4,212,HSR,800.0,Delivery,"North Indian, Chinese, Mughlai"
Sakshi,Yes,No,3.0,38,Bannerghatta Road,550.0,Delivery,"North Indian, Biryani, Chinese, Seafood"
Kerala Mess,Yes,No,3.4,19,Koramangala 1st Block,200.0,Delivery,Kerala
Darjeeling Momo Adda,Yes,No,3.1,81,Bannerghatta Road,200.0,Delivery,"Chinese, Tibetan, North Indian, Momos"
Hot & Cold Hut,Yes,No,3.0,46,Koramangala 4th Block,200.0,Delivery,"Fast Food, Rolls, Juices"
Sreeraj Lassi Bar,Yes,No,4.0,87,BTM,150.0,Delivery,Beverages
Adithya,Yes,No,3.2,9,Jayanagar,400.0,Delivery,"North Indian, Chinese"
Kamat Swaad,Yes,No,3.9,194,JP Nagar,400.0,Delivery,"South Indian, North Indian, Chinese"
Cilantro,Yes,Yes,4.0,280,Koramangala 4th Block,1500.0,Delivery,"European, American, Continental, North Indian, Steak"
The Open Cafe,Yes,No,3.7,15,HSR,500.0,Delivery,"Cafe, Chinese, Continental"
Rimo,Yes,No,3.9,44,Koramangala 5th Block,500.0,Delivery,"Tibetan, Asian, Momos"
Diya's Findish,Yes,No,3.3,6,Bommanahalli,500.0,Delivery,"North Indian, Chinese, Bengali"
The Little Kitchen,Yes,No,3.4,8,JP Nagar,300.0,Delivery,"Chinese, North Indian"
Hot Cross Bun,Yes,No,3.3,4,Koramangala 6th Block,500.0,Delivery,Fast Food
Baker's Glove,Yes,No,3.4,8,Jayanagar,550.0,Delivery,"Desserts, Bakery"
Rayaan's BBQ,Yes,No,3.3,6,BTM,350.0,Delivery,"North Indian, BBQ"
Bullet Biryani,Yes,No,3.2,9,BTM,300.0,Delivery,Biryani
Bajji House,Yes,No,3.5,7,HSR,100.0,Delivery,Street Food
Biryani Spot,Yes,No,3.5,9,BTM,300.0,Delivery,"South Indian, Biryani"
Desserts Tree,Yes,No,3.8,86,Koramangala 1st Block,100.0,Delivery,"Mithai, Desserts"
Om Sweets & Snacks,Yes,No,3.9,34,Koramangala 5th Block,150.0,Delivery,"Mithai, Oriya, Bengali"
Cafe Mist,Yes,No,3.8,187,JP Nagar,500.0,Delivery,"Cafe, American, Continental, Italian"
Momos Corner,Yes,No,3.1,15,Bommanahalli,250.0,Delivery,"Chinese, Rolls, Momos"
Healthy Yummy Food Restaurant,Yes,No,3.6,16,HSR,900.0,Delivery,"Beverages, North Indian, Chinese, Italian"
Tandoor Nation,Yes,No,3.0,39,BTM,400.0,Delivery,"North Indian, Chinese"
Indian Kitchen Eateries-IKE,Yes,No,3.4,8,BTM,150.0,Delivery,Fast Food
Kickin Burger,Yes,No,3.1,22,Jayanagar,400.0,Delivery,Fast Food
Laa Raiba Restaurant,Yes,No,3.3,7,Bannerghatta Road,300.0,Delivery,"Kerala, Chinese, South Indian"
Shabari Kitchen,Yes,No,3.5,16,Koramangala 1st Block,150.0,Delivery,"South Indian, Chinese"
#L-81 Cafe,Yes,No,3.9,48,HSR,400.0,Delivery,"Fast Food, Beverages"
House Of Wholewheat,Yes,No,3.1,6,Koramangala 1st Block,200.0,Delivery,"Bakery, Desserts"
Dabba Karkhana,Yes,No,3.5,17,BTM,300.0,Delivery,North Indian
Hotel Tadaka House,Yes,No,3.4,7,Bommanahalli,300.0,Delivery,"North Indian, Chinese, Biryani"
Eat Sleep Eat Repeat,Yes,No,3.5,16,Koramangala 5th Block,200.0,Delivery,"Chinese, North Indian, Continental"
Insta Cafe,Yes,No,2.9,7,BTM,400.0,Delivery,"Cafe, Continental, Pizza, Italian, Beverages"
Aroma Fine Dine,Yes,Yes,4.0,127,HSR,900.0,Delivery,"North Indian, Mughlai, Chinese, South Indian"
Amma's Pastries,No,No,4.2,434,BTM,400.0,Desserts,"Bakery, Desserts"
Choco Cheese,Yes,No,4.4,63,BTM,300.0,Desserts,"Desserts, Beverages"
XO Belgian Waffle,Yes,No,4.5,583,BTM,400.0,Desserts,"Desserts, Beverages"
Tempteys,Yes,No,4.2,250,BTM,300.0,Desserts,Beverages
LayerBite,Yes,No,4.0,17,BTM,450.0,Desserts,"Bakery, Desserts, Beverages"
eat.fit,Yes,No,4.5,1238,BTM,500.0,Desserts,"Healthy Food, North Indian, Biryani, Continental, Desserts"
Coco Barista,Yes,No,3.7,18,BTM,400.0,Desserts,"Cafe, Burger, Rolls, Beverages"
Waffle Head,Yes,No,4.0,48,BTM,300.0,Desserts,"Desserts, Beverages"
Gogula's Sweets & Chats,Yes,No,4.0,221,BTM,200.0,Desserts,"Mithai, Street Food, Fast Food"
Kanti Sweets,Yes,No,4.2,115,BTM,400.0,Desserts,"Mithai, Street Food"
Laddoos,Yes,No,3.4,280,BTM,200.0,Desserts,"Street Food, Mithai"
Sreeraj Lassi Bar,Yes,No,4.0,87,BTM,200.0,Desserts,Beverages
Keventers,Yes,No,3.8,26,BTM,400.0,Desserts,"Beverages, Desserts, Ice Cream"
Shri Ram Sweet Centre,No,No,4.0,164,BTM,150.0,Desserts,"Street Food, Mithai"
Waffle Stories,Yes,No,4.0,71,BTM,300.0,Desserts,"Desserts, Beverages"
Warm Oven,Yes,No,3.9,38,BTM,500.0,Desserts,"Bakery, Desserts"
CakeZone,No,No,4.1,342,BTM,500.0,Desserts,"Bakery, Desserts"
Rock Stone Ice Cream Factory,Yes,No,4.0,138,BTM,250.0,Desserts,Ice Cream
Call A Cake,Yes,No,3.6,41,BTM,500.0,Desserts,Bakery
Shagun Sweets & Foods,Yes,No,3.6,223,BTM,400.0,Desserts,"Mithai, North Indian, Street Food, Chinese"
Thanco's Natural Ice Cream,Yes,No,3.8,32,BTM,450.0,Desserts,"Ice Cream, Desserts"
Hang10 Resto N Cafe,Yes,No,3.8,102,BTM,800.0,Desserts,"North Indian, Chinese, Beverages"
Just Bake,Yes,No,3.3,77,BTM,400.0,Desserts,Bakery
Sweet Truth,Yes,No,4.0,30,BTM,500.0,Desserts,"Bakery, Desserts"
Yeti,No,No,3.7,22,BTM,300.0,Desserts,"Fast Food, Desserts, Ice Cream"
